2026-09-13 10:20:27 [main] INFO  Hooks - ========== UI Test Started: Verify that VAT user is able to create New Case in TAX Invoice Delivery Maintenance ==========
2026-09-13 10:20:28 [main] INFO  ExtentReportManager - ExtentReport initialized at: logs/reports/ExtentReport_13-09-2026_10-20-27.html
2026-09-13 10:20:28 [main] INFO  ExtentReportManager - Test created in ExtentReport: Verify that VAT user is able to create New Case in TAX Invoice Delivery Maintenance
2026-09-13 10:20:28 [main] INFO  ExtentReportManager - Test Started
2026-09-13 10:20:30 [main] INFO  WebDriverManager - Using chromedriver 152.0.7977.82 (resolved driver for Chrome 152)
2026-09-13 10:20:30 [main] INFO  WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\V00450\.cache\selenium\chromedriver\win64\152.0.7977.82\chromedriver.exe
2026-09-13 10:20:35 [main] INFO  WebDriverManagerUtil - Browser initialized: chrome
2026-09-13 10:20:35 [main] INFO  Hooks - Browser initialized
2026-09-13 10:20:35 [main] INFO  ExtentReportManager - ✓ Browser initialized successfully
2026-09-13 10:20:41 [main] INFO  WebDriverManagerUtil - Navigated to: http://localhost:4200
2026-09-13 10:20:41 [main] INFO  VatStepdef - Navigated to VAT Portal
2026-09-13 10:20:41 [main] INFO  VatStepdef - User Clicked on Create New Case+ link
2026-09-13 10:20:42 [main] INFO  VatStepdef - User Selected VAT Country
2026-09-13 10:20:42 [main] INFO  VatStepdef - User Entered VAT Number
2026-09-13 10:20:42 [main] INFO  VatStepdef - User Clicked on Search button
2026-09-13 10:20:43 [main] INFO  Actions - ✓ File uploaded Successfully
2026-09-13 10:20:43 [main] INFO  ExtentReportManager - ✓ ✓ File uploaded Successfully
2026-09-13 10:20:43 [main] INFO  Actions - ✓ File uploaded successfully Message displayed
2026-09-13 10:20:43 [main] INFO  ExtentReportManager - ✓ ✓ File uploaded successfully Message displayed
2026-09-13 10:21:10 [main] INFO  Hooks - ========== UI Test Finished: Verify that VAT user is able to create New Case in TAX Invoice Delivery Maintenance ==========
2026-09-13 10:21:11 [main] INFO  WebDriverManagerUtil - Browser closed and ThreadLocal cleared.
2026-09-13 10:21:11 [main] INFO  Hooks - Browser closed
